nm_main_double_280;nm_main_double_400;nm_main_double_750;nm_main_double_900;nm_main_double_1200;nm_main_double_1500;nm_main_double_1900;nm_main_double_2100;nm_main_double_2330;nm_main_double_2500;nm_main_double_2750;nm_main_double_3000
0.148229;0.3912;4.175163;5.809794;12.803133;27.462955;56.884561;77.268815;129.008591;134.10742;214.814954;
0.136378;0.386847;3.916743;5.791648;12.767946;27.652646;56.648037;77.165608;129.144544;133.5176;215.128468;
0.135479;0.393637;4.173309;5.758137;12.795653;27.569798;57.202221;77.29699;129.569468;133.261282;216.033156;
0.13574;0.392205;3.882401;5.778196;12.72443;27.514764;57.04129;77.428765;130.924258;133.166641;215.873327;
0.133958;0.386236;4.31055;5.759638;12.652212;27.383104;56.800795;77.584675;129.334863;133.312274;214.982217;
0.13373;0.386949;4.022078;5.784446;12.649413;27.636944;56.961142;77.358201;130.644198;132.930103;214.893737;
0.134801;0.386443;3.935529;5.797838;12.851254;27.483139;56.549195;77.521705;129.391117;132.482987;214.744982;
0.137795;0.386187;3.978848;7.211323;12.693118;27.521137;56.602108;77.276607;130.55208;133.520271;216.016006;
0.13626;0.392359;3.930521;6.2813;12.785667;27.521795;56.729404;77.218577;129.473534;133.096342;216.583649;
0.136407;0.391954;3.908394;5.797483;12.835407;27.612575;56.844293;78.018391;129.340546;132.532571;217.59133;
0.135696;0.387491;3.901853;5.824611;12.747216;27.455489;56.577655;77.348207;129.171366;132.615699;214.685439;
0.137154;0.387012;3.947484;5.780363;12.718019;27.427405;56.794097;77.647492;130.823456;133.024647;216.630885;
0.134232;0.388669;3.992192;5.83905;12.715639;27.510243;56.868982;77.813836;130.7487;133.183563;217.015479;
0.135517;0.394772;3.965139;5.756429;12.750198;27.425022;56.808458;77.483734;129.509037;132.573288;214.793493;
0.135092;0.389664;4.089704;5.795238;12.761241;27.450674;56.975322;77.813251;129.076278;132.864389;216.071364;
0.136755;0.400562;3.921051;5.756855;12.764508;27.715614;56.923218;77.301944;129.925724;132.89044;215.05027;
0.13536;0.391373;3.933169;5.817385;12.713483;27.431077;56.922971;77.440595;129.383006;132.912083;215.552842;
0.135888;0.393096;4.299113;5.753209;12.697535;27.480257;56.646138;77.379787;132.459322;133.532413;218.919444;
0.134871;0.393771;3.882127;5.778797;12.694158;27.422331;56.771113;77.462023;129.736591;132.807875;214.662419;
0.134064;0.387546;3.885485;5.875847;12.766382;27.568247;56.772847;77.265607;129.276958;133.394971;214.671003;
0.134452;0.387213;3.94661;5.831046;12.886921;27.556597;57.076525;77.24189;130.901916;133.310232;214.746393;
0.135001;0.385839;4.029405;5.80227;12.664506;27.592639;56.924296;77.392633;129.311001;133.561765;214.449197;
0.13696;0.385957;4.280245;5.784514;12.727747;27.594874;56.976623;77.532693;130.700757;133.498391;216.896998;
0.131379;0.387758;3.891648;5.760305;12.703851;27.744306;56.894931;77.652609;130.977674;133.267669;215.234554;
0.13182;0.387359;3.93353;5.787807;12.736672;27.567827;56.751321;77.675566;129.019688;133.536428;215.769978;
0.130731;0.38732;3.909981;5.789159;12.795017;27.524951;57.32491;77.60455;129.226647;132.661202;214.563463;
0.130469;0.392185;3.931427;5.919552;12.661484;27.54687;56.900112;77.727064;131.042177;133.288408;216.654636;
0.135899;0.387561;3.925775;5.74127;12.726467;27.334658;56.733409;77.163022;131.093853;133.163639;217.685688;
0.135421;0.387158;3.939634;5.783839;12.879303;27.510101;57.204294;77.150271;129.295576;133.4132;214.588765;
0.131181;0.388565;3.927642;5.769845;12.852679;27.56405;57.042564;77.476674;129.899632;133.149077;216.078964;
