nm_main_int_rnd_280;nm_main_int_rnd_400;nm_main_int_rnd_750;nm_main_int_rnd_900;nm_main_int_rnd_1200;nm_main_int_rnd_1500;nm_main_int_rnd_1900;nm_main_int_rnd_2100;nm_main_int_rnd_2330;nm_main_int_rnd_2500;nm_main_int_rnd_2750;nm_main_int_rnd_3000
0.088458;0.226627;1.717356;3.444724;7.609295;21.891115;46.893104;65.318271;91.895233;117.465188;155.34054;180.252322
0.08157;0.221089;1.855639;3.553227;7.682393;21.651945;47.592478;65.485359;92.055529;115.154637;156.813209;180.191723
0.077826;0.220805;1.780152;4.02769;7.603071;21.47741;47.480248;66.585346;92.27784;116.502093;155.466088;179.981828
0.076622;0.220182;1.654913;4.233946;7.688573;21.410806;47.617335;66.361603;91.917331;115.568361;155.417063;179.916038
0.078731;0.221282;1.703939;4.102021;7.630984;21.551163;47.337755;66.535619;92.690536;115.253814;155.496088;180.731922
0.078831;0.221439;1.896743;3.463993;7.601174;21.855777;47.287498;66.299677;92.300177;117.125301;155.552289;180.329886
0.077873;0.223439;1.834774;3.468928;7.796199;22.00883;47.588908;66.394825;92.280555;115.74436;155.441043;180.435376
0.077967;0.22074;1.793148;3.480275;7.543691;21.413145;46.879282;65.407581;92.260326;115.494822;157.960921;180.219221
0.073804;0.222131;1.678046;3.494677;7.533527;21.593713;46.5112;65.332337;91.941971;115.602824;156.413654;180.719474
0.082;0.221262;1.721573;3.556402;7.541035;21.794205;47.505097;65.513782;92.006518;115.391616;156.930746;180.28949
0.077476;0.221519;1.929225;3.901477;7.604961;21.589753;47.058573;66.4208;92.041825;115.646155;155.75744;180.233879
0.078157;0.225641;1.837491;3.474747;7.684031;21.847417;47.271406;66.12465;92.235386;116.952855;155.842924;180.79584
0.077182;0.229492;1.728891;3.548771;7.773098;21.841004;46.823358;65.738797;93.029752;116.507121;155.768247;180.788633
0.080141;0.221962;1.735363;3.548614;7.761293;21.824797;46.786166;65.258195;92.0785;117.382959;155.156918;180.530048
0.078987;0.220445;1.713859;3.687661;7.560966;21.475308;46.849334;65.258195;92.01013;116.675842;156.158437;180.521203
0.077933;0.221462;1.664113;3.565485;7.464867;21.720009;46.88799;66.030736;92.145718;116.964485;155.843679;180.640022
0.076958;0.219833;1.743332;3.802112;7.472044;21.514196;47.056539;66.019379;91.943797;116.842275;155.608201;180.780384
0.07929;0.221545;1.733919;3.534109;7.555297;21.816588;46.937166;66.22208;92.000078;116.039007;155.722353;179.940341
0.073836;0.222762;1.741455;3.58923;7.555965;21.700071;46.685504;65.88046;92.221223;115.339283;155.489058;181.140256
0.074218;0.222701;1.76758;3.521336;7.711463;21.860212;52.033144;66.413848;92.079752;115.394666;155.890048;181.11457
0.076001;0.217283;1.768301;3.529835;7.76728;21.710509;46.836429;65.497327;92.017475;115.641925;155.502105;180.916734
0.078653;0.224842;1.720616;3.463279;7.641266;21.73772;46.680728;65.349282;92.473982;115.586631;155.362131;180.571746
0.078564;0.221127;1.734316;3.502433;7.984977;21.555984;47.638423;65.301129;92.081743;115.2745;157.098542;180.482652
0.074088;0.222475;1.699293;3.406851;7.540619;21.782129;47.397856;65.284179;92.068994;115.354972;157.705581;181.064783
0.079799;0.220998;1.711262;3.502128;7.572087;21.900121;47.17297;65.220136;91.950684;117.354983;156.667781;180.831358
0.079265;0.222765;1.684191;3.462292;7.51534;21.574594;47.090028;65.566887;91.8248;116.224914;156.129614;181.543029
0.07801;0.221319;1.751479;3.47293;7.597338;22.022886;48.665698;65.878763;91.83664;115.614616;156.211211;181.252358
0.07809;0.220992;1.758409;3.571744;7.603233;21.670096;46.708679;65.422697;92.515562;115.569146;156.918313;180.637611
0.073727;0.221292;1.701124;3.573861;7.524172;21.89;46.530252;65.474465;91.931903;115.657989;155.796493;181.173119
0.074131;0.217264;1.766766;3.672131;7.58832;21.670288;46.898319;65.453;91.855689;115.35518;155.588099;180.323058
