nm_main_int_280;nm_main_int_400;nm_main_int_750;nm_main_int_900;nm_main_int_1200;nm_main_int_1500;nm_main_int_1900;nm_main_int_2100;nm_main_int_2330;nm_main_int_2500;nm_main_int_2750;nm_main_int_3000
0.077043;0.223346;1.773058;3.887649;7.926822;21.623567;47.429900;66.416336;92.227970;116.868531;156.417338;180.313155
0.085277;0.223595;1.748054;3.892852;7.692355;21.699297;47.169109;66.447645;93.199060;117.111601;158.219097;180.506975
0.084335;0.225266;1.801779;3.727548;7.611924;21.946884;47.009583;66.327915;92.400210;115.741132;156.183029;180.129901
0.078702;0.223117;1.802007;3.953576;7.822245;21.573356;46.902354;65.182780;91.992099;115.660114;155.737654;180.737947
0.079978;0.224493;1.808344;3.551195;7.574923;21.613364;47.501275;65.411904;93.343707;115.297290;156.403480;180.638956
0.080213;0.218535;1.761004;3.884262;7.468704;21.555570;46.966274;66.532296;92.226148;115.851614;156.366685;180.725750
0.075159;0.223772;1.848599;3.495155;7.566541;21.808923;46.902471;66.135014;92.052914;117.072631;155.795643;180.742947
0.083169;0.225975;2.068895;3.771969;7.582977;21.922941;47.031648;66.451254;92.297568;118.700633;155.907958;181.015096
0.079079;0.221986;1.997704;3.987285;7.543875;21.599109;46.818570;66.173806;93.284825;115.845590;156.736317;180.681986
0.078531;0.223745;2.441530;3.529816;7.612118;21.841353;46.958814;65.361956;92.259039;115.534747;155.578002;180.596169
0.079062;0.225032;2.020185;3.762065;7.599838;21.758281;47.273730;67.017993;93.709134;115.619822;155.482520;180.485160
0.080978;0.224540;2.044293;4.194683;7.730681;22.126277;46.885149;66.712462;92.242114;117.293286;155.717928;181.901595
0.073947;0.227496;2.088459;3.929426;7.550509;21.727102;47.063629;65.260097;92.984768;115.941598;155.650759;180.629538
0.075647;0.222198;1.981948;3.507520;7.517908;23.441411;47.418538;65.227766;92.464155;116.318859;158.008207;180.108895
0.075583;0.223795;1.729240;3.495840;7.669034;21.532679;46.873457;66.525315;92.118277;115.794999;157.704645;180.543550
0.079106;0.223298;1.834734;3.448386;7.609165;21.772184;46.964530;65.484709;92.141976;115.520199;155.538105;180.320163
0.074095;0.221571;1.715353;4.194186;7.652549;23.190465;47.355575;65.137850;92.073624;116.009287;155.607792;180.078064
0.078040;0.224223;2.016239;3.923668;7.797370;22.200453;46.688241;65.494810;92.098162;115.428536;155.624262;180.763555
0.082147;0.226514;2.089077;4.209607;7.757572;21.622525;47.619110;65.502484;92.070000;116.865056;155.407017;179.911188
0.078277;0.223808;2.154281;3.438215;7.541763;21.499938;47.031312;65.810115;92.572156;115.537476;156.156515;179.833926
0.079583;0.222151;1.803008;3.601566;7.472253;21.442982;47.697286;66.214994;92.094880;115.707690;156.369085;180.083238
0.074546;0.225588;1.803285;3.539915;7.629520;21.533579;47.569856;66.259829;93.211356;115.598053;155.424625;180.110849
0.081255;0.223693;1.827145;3.457405;7.480351;25.010790;47.572731;66.592460;91.781489;115.760398;157.790193;180.238827
0.078205;0.224305;1.762077;3.471978;7.527084;21.835071;47.572835;65.680939;91.823018;115.808547;155.499910;180.180011
0.077788;0.224712;1.783917;3.645729;7.637800;21.891938;46.823958;66.229113;91.905657;116.399659;155.869672;180.280725
0.079926;0.228426;1.874749;3.539684;7.613663;22.089470;47.529436;65.554918;92.139277;115.531828;155.438444;180.568743
0.079718;0.218791;1.898257;4.043992;7.538441;21.917260;46.784759;65.407153;92.446330;116.904241;156.015764;180.509159
0.079137;0.217492;1.728838;3.531316;8.438449;21.985341;48.130666;65.473118;93.387709;116.938154;156.214623;180.111997
0.074481;0.229064;1.894336;4.338214;7.597039;21.847455;47.548967;65.947140;91.967181;116.640972;155.708809;180.334944
0.081550;0.222509;1.896939;3.462819;7.544745;21.576687;47.476397;65.330317;93.608032;115.618271;155.907593;179.879374
